"","Sum Intermediate Reqs","Sum Intermediate Reqs Scrap Adj","Rel_Diff"
"483000/US",0.743078634603656,0.743078634603656,0
"484000/US",0.514965263039159,0.514965263039159,0
"485000/US",0.649250770827502,0.649250770827502,0
"486000/US",0.157046401632408,0.157046401632408,0
"492000/US",0.431240704790508,0.431240704790508,0
"493000/US",0.50679081001336,0.50679081001336,0
"511110/US",0.313157891871341,0.313157891871341,0
"511120/US",0.383396064151941,0.383396064151941,0
"511200/US",0.374418400369021,0.374418400369021,0
"512100/US",0.366595380836774,0.366595380836774,0
"512200/US",0.255155720854086,0.255155720854086,0
"515100/US",0.483512251141215,0.483512251141215,0
"515200/US",0.436841284166614,0.436841284166614,0
"517110/US",0.45574231287214,0.45574231287214,0
"517210/US",0.455736994172281,0.455736994172281,0
"517A00/US",0.472960893933963,0.472960893933963,0
"518200/US",0.401883009083222,0.401883009083222,0
"519130/US",0.391790097867002,0.391790097867002,0
"522A00/US",0.467944005298832,0.467944005298832,0
"52A000/US",0.337737088510554,0.337737088510554,0
"523900/US",0.480723949252461,0.480723949252461,0
"523A00/US",0.467659406022828,0.467659406022828,0
"524113/US",0.403420720289161,0.403420720289161,0
"5241XX/US",0.467566685836917,0.467566685836917,0
"524200/US",0.450642775097916,0.450642775097916,0
"531HSO/US",0.136847581087006,0.136847581087006,0
"531HST/US",0.0616738645603298,0.0616738645603298,0
"531ORE/US",0.589491202756536,0.589491202756536,0
"532100/US",0.460006667648726,0.460006667648726,0
"532A00/US",0.403241488854367,0.403241488854367,0
"533000/US",0.348550441267195,0.348550441267195,0
"541100/US",0.248917479331759,0.248917479331759,0
"541512/US",0.34351844778613,0.34351844778613,0
"54151A/US",0.342927181439559,0.342927181439559,0
"541200/US",0.277459666228153,0.277459666228153,0
"541610/US",0.32108751928806,0.32108751928806,0
"541400/US",0.310926089634819,0.310926089634819,0
"541920/US",0.401426264177222,0.401426264177222,0
"541940/US",0.30318587814929,0.30318587814929,0
"5419A0/US",0.368812446969945,0.368812446969945,0
"550000/US",0.349070948687319,0.349070948687319,0
"561300/US",0.354371495743127,0.354371495743127,0
"561100/US",0.362692681758745,0.362692681758745,0
"561200/US",0.523573383499699,0.523573383499699,0
"561500/US",0.557710426876912,0.557710426876912,0
"611100/US",0.227186451228043,0.227186451228043,0
"611A00/US",0.252823286014792,0.252823286014792,0
"611B00/US",0.466584320827904,0.466584320827904,0
"621100/US",0.377521171064628,0.377521171064628,0
"621200/US",0.235146301606389,0.235146301606389,0
"621300/US",0.250154589165632,0.250154589165632,0
"621400/US",0.384229052820307,0.384229052820307,0
"621500/US",0.280498321911888,0.280498321911888,0
"621600/US",0.31035253022229,0.31035253022229,0
"621900/US",0.475525945093575,0.475525945093575,0
"622000/US",0.44026747828411,0.44026747828411,0
"623A00/US",0.412523687738675,0.412523687738675,0
"623B00/US",0.336301347417943,0.336301347417943,0
"711100/US",0.4340773496181,0.4340773496181,0
"711200/US",0.28247846089715,0.28247846089715,0
"711500/US",0.295149103077879,0.295149103077879,0
"713100/US",0.337018465758242,0.337018465758242,0
"811100/US",0.414152084174002,0.414152084174002,0
"811200/US",0.410332510168002,0.410332510168002,0
"811300/US",0.418185791106573,0.418185791106573,0
"812100/US",0.446445095760322,0.446445095760322,0
"812200/US",0.40347767367266,0.40347767367266,0
"812300/US",0.33651576706314,0.33651576706314,0
"813100/US",0.310431353805712,0.310431353805712,0
"813A00/US",0.342686647222502,0.342686647222502,0
"813B00/US",0.380545849456265,0.380545849456265,0
"S00500/US",0.35026686572137,0.35026686572137,0
"S00600/US",0.268473495809804,0.268473495809804,0
"491000/US",0.182151916023912,0.182151916023912,0
"S00102/US",0.652480559394665,0.652480559394665,0
"GSLGE/US",0.207644674689062,0.207644674689062,0
"GSLGH/US",0.497676841271059,0.497676841271059,0
"S00203/US",0.536126844522243,0.536126844522243,0
"S00900/US",0.268473495809804,0.268473495809804,0
"445000/US",0.354270822779716,0.354270830484886,-2.17493796162871e-08
"336112/US",0.737387524651676,0.737387550369639,-3.48771314683464e-08
"713200/US",0.45830984217117,0.458309865590254,-5.10988008742359e-08
"4B0000/US",0.351559789477782,0.35155981995054,-8.66787261902922e-08
"337121/US",0.657239518188421,0.657239651102779,-2.02231191497945e-07
"333314/US",0.53693003390801,0.536930170366501,-2.54145693290219e-07
"325110/US",0.661111641583375,0.661111900621361,-3.91821697045368e-07
"335313/US",0.548567259005537,0.548567486087589,-4.13954632199712e-07
"335210/US",0.463280534427861,0.463280755786804,-4.77807333457804e-07
"336120/US",0.776767279617279,0.77676765599333,-4.84541353416724e-07
"336214/US",0.660825252423829,0.660825574507827,-4.87396387534848e-07
"324110/US",0.777791616611426,0.777792015179077,-5.12434742185571e-07
"334610/US",0.265487758311185,0.265487923305325,-6.21475122178753e-07
"336992/US",0.554752016671641,0.554752486759676,-8.47383376362538e-07
"334418/US",0.306171801913014,0.306172077007468,-8.9849621862279e-07
"337900/US",0.676753140655211,0.676753788751409,-9.57654332479156e-07
"334515/US",0.321381994956865,0.321382306861093,-9.70508398695638e-07
"624A00/US",0.555574746954135,0.555575324372376,-1.03931584931911e-06
"324122/US",0.634651773516661,0.634652500909807,-1.14612822783757e-06
