"","input","output","value"
"321","48A000/US","33211A/US",2.50205341763348e-05
"15","336390/US","321200/US",2.4977935554258e-05
"1171","326110/US","336360/US",2.49738986189928e-05
"106","332999/US","331200/US",2.49367908377956e-05
"1483","326110/US","326140/US",2.49292062117178e-05
"860","423A00/US","33299A/US",2.48479645930944e-05
"745","532400/US","332720/US",2.48041210401044e-05
"22","424A00/US","321200/US",2.47991807626781e-05
"1162","321910/US","336360/US",2.47502469846034e-05
"1240","332800/US","3363A0/US",2.4724454194467e-05
"1366","322210/US","322291/US",2.46705896941868e-05
"951","334512/US","333414/US",2.46651336895769e-05
"55","550000/US","321910/US",2.46161149495688e-05
"38","334413/US","321910/US",2.45852568266317e-05
"208","221100/US","331510/US",2.45776344738428e-05
"365","33351B/US","332119/US",2.4553823690328e-05
"238","531ORE/US","331520/US",2.44433185457036e-05
"1605","561300/US","GSLGO/US",2.44330450265406e-05
"275","481000/US","332114/US",2.44312969314966e-05
"823","331110/US","33291A/US",2.44099357080627e-05
"129","533000/US","331200/US",2.43026552027713e-05
"946","550000/US","333111/US",2.42803721751533e-05
"1184","331420/US","336370/US",2.42797670764443e-05
"1093","423A00/US","333618/US",2.42399483853795e-05
"497","482000/US","332320/US",2.42309306117084e-05
"435","325211/US","332200/US",2.42270200578147e-05
"579","423800/US","332430/US",2.42234331346881e-05
"215","230301/US","331520/US",2.42164507557249e-05
"466","541300/US","332310/US",2.42136198663834e-05
"1138","541300/US","336320/US",2.42098185797845e-05
"227","333511/US","331520/US",2.41067259125448e-05
"1528","324110/US","525000/US",2.41050957537226e-05
"216","3219A0/US","331520/US",2.40997959224491e-05
"1133","444000/US","336320/US",2.40950416246959e-05
"605","2122A0/US","332600/US",2.40705934907361e-05
"207","561300/US","331490/US",2.40270821220637e-05
"1404","323120/US","323110/US",2.39994739520723e-05
"1213","322210/US","336390/US",2.39215859124172e-05
"1074","518200/US","333613/US",2.38678037760062e-05
"942","326290/US","333111/US",2.38627575842622e-05
"1461","541300/US","326120/US",2.38407816276999e-05
"940","3363A0/US","333111/US",2.38085143710633e-05
"72","531ORE/US","3219A0/US",2.37995193311524e-05
"1207","33399B/US","336390/US",2.37952618971429e-05
"561","561600/US","332420/US",2.379058358579e-05
"57","221100/US","3219A0/US",2.37548963810431e-05
"1319","326110/US","322220/US",2.37407942499379e-05
"1063","332800/US","333613/US",2.36831143092253e-05
"159","336390/US","33131B/US",2.36500660414896e-05
"636","324110/US","332600/US",2.36477795785336e-05
"1557","517210/US","562000/US",2.36328064034466e-05
"185","332710/US","331410/US",2.35873639779435e-05
"1357","541200/US","322230/US",2.35653001925662e-05
"1108","550000/US","336310/US",2.35567020721479e-05
"1343","424400/US","322230/US",2.35557986303487e-05
"528","332800/US","332420/US",2.35537341982295e-05
"1333","3252A0/US","322230/US",2.35473597089576e-05
"1490","335314/US","326150/US",2.35034768705207e-05
"1370","424A00/US","322291/US",2.35022193261561e-05
"602","484000/US","332500/US",2.35009855662927e-05
"571","332710/US","332430/US",2.34965529742124e-05
"1489","334118/US","326150/US",2.34884580377313e-05
"665","541400/US","332600/US",2.34777579982283e-05
"1181","3219A0/US","336370/US",2.34472828528906e-05
"138","561700/US","331200/US",2.33491323100776e-05
"623","332420/US","332600/US",2.33411158315497e-05
"1218","326220/US","336390/US",2.33359889788478e-05
"1010","423600/US","333517/US",2.33341006726645e-05
"826","332996/US","33291A/US",2.33219417272376e-05
"66","326120/US","3219A0/US",2.33116701721849e-05
"598","332800/US","332500/US",2.33033239546293e-05
"243","561900/US","331520/US",2.33025377192357e-05
"783","335314/US","332800/US",2.32786764761505e-05
"1017","327999/US","33351B/US",2.32221002781884e-05
"1259","326290/US","3363A0/US",2.31822489008019e-05
"1541","335911/US","562000/US",2.31718842199926e-05
"1012","541511/US","333517/US",2.31545379981504e-05
"1465","561700/US","326120/US",2.31256047849098e-05
"723","332800/US","332720/US",2.30872233871579e-05
"995","518200/US","333514/US",2.3077603661761e-05
"986","334418/US","333514/US",2.30074976487055e-05
"378","3259A0/US","332119/US",2.29748613448182e-05
"1075","52A000/US","333613/US",2.2944978550688e-05
"556","541800/US","332420/US",2.29394918091009e-05
"1006","333517/US","333517/US",2.29334144762235e-05
"1535","333415/US","562000/US",2.29175582278241e-05
"1168","325211/US","336360/US",2.28713357834347e-05
"576","325520/US","332430/US",2.28575564196688e-05
"1092","423800/US","333618/US",2.28457815028733e-05
"1462","541800/US","326120/US",2.28219887924382e-05
"734","481000/US","332720/US",2.28126202236737e-05
"34","332320/US","321910/US",2.27981086707105e-05
"1463","5419A0/US","326120/US",2.27791319096378e-05
"17","322210/US","321200/US",2.27754524083253e-05
"1478","221100/US","326140/US",2.27726233634172e-05
"491","325510/US","332320/US",2.27170890026275e-05
"927","541400/US","332999/US",2.27133261935381e-05
"1427","561300/US","323120/US",2.27116425022336e-05
"1365","322120/US","322291/US",2.26933475329025e-05
"1390","52A000/US","322299/US",2.26789029851796e-05
"916","5241XX/US","332999/US",2.26722329977089e-05
"312","322210/US","33211A/US",2.26680127228835e-05
"1080","541300/US","333613/US",2.26679355765378e-05
"846","423800/US","332996/US",2.26358475785967e-05
"1160","221100/US","336360/US",2.26010627765449e-05
"1123","336370/US","336320/US",2.25684740721927e-05
"1467","221100/US","326130/US",2.24955846342637e-05
"104","33291A/US","331200/US",2.24591266036616e-05
"813","541200/US","332800/US",2.24231419987979e-05
"943","423100/US","333111/US",2.24092242307843e-05
"1424","424A00/US","323120/US",2.23527693488344e-05
"717","332114/US","332720/US",2.23497356078356e-05
"577","325910/US","332430/US",2.22596207205671e-05
"173","5419A0/US","33131B/US",2.22143894444424e-05
"1296","325910/US","322210/US",2.21866923479259e-05
"50","52A000/US","321910/US",2.21378886116935e-05
"1556","517110/US","562000/US",2.21296543062928e-05
"670","561400/US","332600/US",2.2099696960668e-05
"296","811100/US","332114/US",2.20990342950748e-05
"1046","561300/US","33351B/US",2.20989879679313e-05
"599","334413/US","332500/US",2.20937161956383e-05
"616","331520/US","332600/US",2.20828265818619e-05
"947","550000/US","33329A/US",2.20149861821228e-05
"630","332991/US","332600/US",2.19439664567765e-05
"1069","335312/US","333613/US",2.19304768070937e-05
"1574","561400/US","562000/US",2.18978754015901e-05
"1264","424A00/US","3363A0/US",2.18943055783878e-05
"105","332991/US","331200/US",2.18391455474734e-05
"1008","334515/US","333517/US",2.18318275714245e-05
"1596","52A000/US","GSLGO/US",2.18268535570427e-05
"681","331313/US","332710/US",2.18196668840326e-05
"16","313300/US","321200/US",2.18069088746883e-05
"1030","334515/US","33351B/US",2.17807836623051e-05
"6","3219A0/US","321100/US",2.17755405102649e-05
"1125","339990/US","336320/US",2.17632421241508e-05
"1420","322210/US","323120/US",2.17598452998853e-05
"1230","3219A0/US","3363A0/US",2.1704669461429e-05
"1316","322210/US","322220/US",2.16591734259267e-05
"615","331510/US","332600/US",2.15851675326652e-05
"791","3252A0/US","332800/US",2.15505610832011e-05
"674","811100/US","332600/US",2.15307025269651e-05
"1604","5416A0/US","GSLGO/US",2.15246864301447e-05
"1011","423800/US","333517/US",2.15215593477175e-05
"1215","325510/US","336390/US",2.15198362565634e-05
"534","334418/US","332420/US",2.15189220566323e-05
"1491","335991/US","326150/US",2.15020503049447e-05
"695","423800/US","332710/US",2.15017426088782e-05
"757","561600/US","332720/US",2.15009149644426e-05
"1412","484000/US","323110/US",2.14938428235965e-05
"1409","423800/US","323110/US",2.14911583645092e-05
"1452","423A00/US","326120/US",2.14364644081739e-05
"1437","230301/US","326120/US",2.14360486650617e-05
"1422","325910/US","323120/US",2.14277886648774e-05
"908","481000/US","332999/US",2.1416680229725e-05
"131","541512/US","331200/US",2.14103397084037e-05
"548","522A00/US","332420/US",2.14007418851596e-05
"1444","325130/US","326120/US",2.13975378685039e-05
"1023","332710/US","33351B/US",2.13865446750628e-05
"1094","550000/US","333618/US",2.13614468166021e-05
"1038","52A000/US","33351B/US",2.13612636198691e-05
"1170","325510/US","336360/US",2.13349031223213e-05
"65","325414/US","3219A0/US",2.13077932156979e-05
"1518","52A000/US","326150/US",2.12677573204713e-05
"188","334418/US","331410/US",2.12615103479955e-05
"640","326150/US","332600/US",2.12323586040895e-05
"382","423400/US","332119/US",2.12139533193204e-05
"987","335314/US","333514/US",2.12077578907203e-05
"1577","722110/US","562000/US",2.11624003186601e-05
"1247","335930/US","3363A0/US",2.11249677461393e-05
"1466","S00300/US","326120/US",2.10928250997935e-05
"98","332310/US","331200/US",2.1063806337271e-05
"737","493000/US","332720/US",2.10455699199709e-05
"368","33441A/US","332119/US",2.10358595834123e-05
"821","S00203/US","332800/US",2.10069920393552e-05
"451","33291A/US","332310/US",2.09600122031499e-05
"1178","484000/US","336360/US",2.09422263725677e-05
"806","517110/US","332800/US",2.09407476632179e-05
"372","322130/US","332119/US",2.09363985799098e-05
"1278","423800/US","336500/US",2.09300706863792e-05
"363","333415/US","332119/US",2.09101177160711e-05
"600","336390/US","332500/US",2.08867025150109e-05
"1477","524200/US","326130/US",2.08716508129213e-05
"1558","517A00/US","562000/US",2.08609824761661e-05
"1079","541100/US","333613/US",2.08082124892326e-05
"123","517110/US","331200/US",2.07925740460509e-05
"523","332114/US","332420/US",2.07845800774655e-05
"13","332800/US","321200/US",2.07353960909231e-05
"23","482000/US","321200/US",2.07352773480543e-05
"700","541100/US","332710/US",2.0732272197092e-05
"560","561400/US","332420/US",2.07231964102911e-05
"494","423800/US","332320/US",2.07081287466877e-05
"1536","333413/US","562000/US",2.0666502046253e-05
"690","333511/US","332710/US",2.0629932177824e-05
"286","533000/US","332114/US",2.06214772756335e-05
"1120","335920/US","336320/US",2.06119688495833e-05
"1297","423400/US","322210/US",2.06068180346611e-05
"489","336390/US","332320/US",2.05915828621231e-05
"553","533000/US","332420/US",2.05884141548148e-05
"588","541100/US","332430/US",2.05743532255436e-05
"322","518200/US","33211A/US",2.05721419865262e-05
"586","523A00/US","332430/US",2.05526730193443e-05
"1369","326110/US","322291/US",2.05363560842331e-05
"802","481000/US","332800/US",2.0532853969359e-05
"1413","493000/US","323110/US",2.05201865517961e-05
"1317","325211/US","322220/US",2.04975750697015e-05
"1185","331510/US","336370/US",2.04657308306051e-05
"1322","230301/US","322230/US",2.0461724309776e-05
"288","541512/US","332114/US",2.04436764008856e-05
"1186","332119/US","336370/US",2.04093817810064e-05
"1338","326130/US","322230/US",2.03932719586085e-05
"285","532400/US","332114/US",2.03483262620216e-05
"4","321200/US","321100/US",2.03285744856132e-05
"1156","423800/US","336350/US",2.03189069452568e-05
"1135","523A00/US","336320/US",2.03089730719226e-05
"49","518200/US","321910/US",2.02591081678066e-05
"1209","335930/US","336390/US",2.0229303350789e-05
"319","482000/US","33211A/US",2.01972562721797e-05
"347","331510/US","332119/US",2.01846090302402e-05
"455","325510/US","332310/US",2.01775916939644e-05
"514","3259A0/US","332410/US",2.01713426209102e-05
"858","335311/US","33299A/US",2.01575775019645e-05
"1175","423800/US","336360/US",2.014829709031e-05
"1320","424A00/US","322220/US",2.00792716247358e-05
"171","531ORE/US","33131B/US",2.00787187303896e-05
"113","3259A0/US","331200/US",2.00668286698452e-05
"230","322210/US","331520/US",2.00666380875836e-05
"325","524200/US","33211A/US",2.00603654507158e-05
"693","325510/US","332710/US",2.00007612170486e-05
"1283","336390/US","314900/US",1.99843034467146e-05
"1112","331490/US","336320/US",1.99381036401977e-05
"897","324190/US","332999/US",1.99349358346768e-05
"471","561200/US","332310/US",1.99195971016409e-05
"932","562000/US","332999/US",1.98867588410894e-05
"1433","424200/US","326110/US",1.98564930757369e-05
"799","424700/US","332800/US",1.98546376507557e-05
"1607","561600/US","GSLGO/US",1.98438817867724e-05
"14","334413/US","321200/US",1.97768842961693e-05
"1374","334418/US","322299/US",1.97334098366777e-05
"170","524200/US","33131B/US",1.9713867559756e-05
"36","332720/US","321910/US",1.96884689415799e-05
"633","334418/US","332600/US",1.96626729427162e-05
"1208","33441A/US","336390/US",1.96524593041401e-05
"475","S00300/US","332310/US",1.96396245714676e-05
"44","424A00/US","321910/US",1.96331205296173e-05
"198","3219A0/US","331490/US",1.96276769319614e-05
"309","332800/US","33211A/US",1.95876475288081e-05
"768","33131B/US","332800/US",1.95862548430974e-05
"1037","518200/US","33351B/US",1.95743723704414e-05
"1202","331510/US","336390/US",1.95642877986041e-05
"468","5419A0/US","332310/US",1.9539520784193e-05
"1195","423100/US","336370/US",1.9536899644363e-05
"186","332800/US","331410/US",1.95347077258873e-05
"81","331490/US","331110/US",1.95220852700967e-05
"1144","331410/US","336350/US",1.95205912343933e-05
"1601","541200/US","GSLGO/US",1.9461451516792e-05
"1364","322110/US","322291/US",1.94578603598949e-05
"240","5419A0/US","331520/US",1.94500477403801e-05
"1529","324110/US","561900/US",1.94233903337265e-05
"673","721000/US","332600/US",1.93649849964595e-05
"509","561600/US","332320/US",1.93531010413894e-05
"675","811200/US","332600/US",1.93526829018053e-05
"1153","326190/US","336350/US",1.93494407346138e-05
"176","561400/US","33131B/US",1.93459907501781e-05
"945","423A00/US","333111/US",1.93186326063917e-05
"694","423600/US","332710/US",1.92921623502545e-05
"1198","482000/US","336370/US",1.92859517255681e-05
"111","324190/US","331200/US",1.928574968748e-05
"1591","424A00/US","GSLGO/US",1.92725970624809e-05
"145","331410/US","331313/US",1.92336260423174e-05
"60","321910/US","3219A0/US",1.92216351686736e-05
"1484","424200/US","326140/US",1.92189822759807e-05
"1468","322120/US","326130/US",1.92059156215261e-05
"1193","336390/US","336370/US",1.91924171963013e-05
"1367","322220/US","322291/US",1.91882364288104e-05
"811","533000/US","332800/US",1.91747061159772e-05
"324","523A00/US","33211A/US",1.91710548649608e-05
"1470","325190/US","326130/US",1.91100658831073e-05
"212","482000/US","331510/US",1.91088468699425e-05
"356","332600/US","332119/US",1.91009304718641e-05
"132","541200/US","331200/US",1.90856247136062e-05
"1245","334418/US","3363A0/US",1.90604597159558e-05
"112","325120/US","331200/US",1.90314476785532e-05
"1304","48A000/US","322210/US",1.89985950743128e-05
"178","811300/US","33131B/US",1.89910723940238e-05
"1044","541800/US","33351B/US",1.89502051058674e-05
"313","324110/US","33211A/US",1.89437996098228e-05
"1551","424700/US","562000/US",1.89349650632667e-05
"941","326210/US","333111/US",1.89212181223898e-05
"1356","541512/US","322230/US",1.88907235633153e-05
"769","331410/US","332800/US",1.88805132959246e-05
"1496","325120/US","326150/US",1.88760043653077e-05
"1226","541100/US","336390/US",1.88567852706135e-05
"1349","522A00/US","322230/US",1.88510938067591e-05
"317","423800/US","33211A/US",1.88177689930832e-05
"568","331490/US","332430/US",1.88148723246657e-05
"1173","326190/US","336360/US",1.88145523967627e-05
"1221","423600/US","336390/US",1.88009785694263e-05
"845","326130/US","332996/US",1.87920660281067e-05
"151","331110/US","33131B/US",1.87833069192796e-05
"582","482000/US","332430/US",1.8780081413843e-05
"1398","33399B/US","323110/US",1.87482132307593e-05
"803","482000/US","332800/US",1.87372109540845e-05
"1267","523A00/US","3363A0/US",1.87116296373711e-05
"204","332710/US","331490/US",1.87055866621285e-05
"255","332119/US","332114/US",1.87026018742609e-05
"594","33211A/US","332500/US",1.86884140271279e-05
"805","493000/US","332800/US",1.86759427384788e-05
"517","230301/US","332420/US",1.86758744020491e-05
"1280","550000/US","336500/US",1.86724125371754e-05
"480","331420/US","332320/US",1.86573483942506e-05
"1056","33131B/US","333613/US",1.86550135385091e-05
"735","482000/US","332720/US",1.86366230378733e-05
"328","541300/US","33211A/US",1.86314161990985e-05
"1532","332310/US","562000/US",1.86257810802998e-05
"418","561300/US","332119/US",1.86045435732169e-05
"1255","325190/US","3363A0/US",1.86008406054816e-05
"546","517110/US","332420/US",1.85933111121321e-05
"1418","221100/US","323120/US",1.85665847562428e-05
"919","532400/US","332999/US",1.85369840367495e-05
"704","561400/US","332710/US",1.85333210421038e-05
"972","331313/US","333514/US",1.85280757840633e-05
"1085","331110/US","333618/US",1.85167748561581e-05
"539","326110/US","332420/US",1.84896331741659e-05
"1005","331520/US","333517/US",1.84113366432336e-05
"1552","424A00/US","562000/US",1.8403448339992e-05
"1426","541511/US","323120/US",1.84031517878429e-05
"1231","327200/US","3363A0/US",1.83981765743369e-05
"314","325510/US","33211A/US",1.8362808795407e-05
"467","541800/US","332310/US",1.83566429300622e-05
"1397","33329A/US","323110/US",1.83472820465243e-05
"1106","423A00/US","336310/US",1.83307505277029e-05
"1083","561700/US","333613/US",1.83188323451076e-05
"1002","541800/US","333514/US",1.83159337892045e-05
"259","332430/US","332114/US",1.83033313347059e-05
"1228","561300/US","336390/US",1.82979771819209e-05
"235","52A000/US","331520/US",1.82803919551791e-05
"164","424A00/US","33131B/US",1.82758776509238e-05
"1543","3363A0/US","562000/US",1.82741703137019e-05
"63","337122/US","3219A0/US",1.8263822756312e-05
"1547","423100/US","562000/US",1.82368541914975e-05
"1548","423600/US","562000/US",1.81809245676642e-05
"256","332200/US","332114/US",1.81675349183715e-05
"64","324190/US","3219A0/US",1.81362120352342e-05
"1414","52A000/US","323110/US",1.80792787489881e-05
"327","541100/US","33211A/US",1.80722590312505e-05
"1493","322210/US","326150/US",1.80676832477016e-05
"1403","323110/US","323110/US",1.80662876019515e-05
"798","424200/US","332800/US",1.80499450674744e-05
"298","S00203/US","332114/US",1.80416644718075e-05
"513","332710/US","332410/US",1.80404781611604e-05
"776","33351B/US","332800/US",1.80028635876218e-05
"1028","334413/US","33351B/US",1.79709167345242e-05
"446","332114/US","332310/US",1.79470321508223e-05
"1410","424200/US","323110/US",1.79222887441025e-05
"1119","335110/US","336320/US",1.78918956554564e-05
"1288","334418/US","322210/US",1.78829347429548e-05
"1512","424400/US","326150/US",1.78746028482047e-05
"522","331520/US","332420/US",1.78694388515252e-05
"1140","5419A0/US","336320/US",1.7860815208368e-05
"40","322210/US","321910/US",1.7857994694552e-05
"1097","332710/US","336310/US",1.78231195659233e-05
"1268","524200/US","3363A0/US",1.77975495669206e-05
"838","331510/US","332996/US",1.7791213428992e-05
"120","481000/US","331200/US",1.77875365008917e-05
"316","423600/US","33211A/US",1.77845226981221e-05
"997","523A00/US","333514/US",1.77732702073895e-05
"828","221100/US","332991/US",1.7753456003973e-05
"1416","541300/US","323110/US",1.77433901299082e-05
"270","3259A0/US","332114/US",1.77313568983217e-05
"1310","541800/US","322210/US",1.77302296777049e-05
"1589","324121/US","GSLGO/US",1.77192691757696e-05
"1472","3259A0/US","326130/US",1.76927080793345e-05
"508","561400/US","332320/US",1.76709564152972e-05
"1603","541610/US","GSLGO/US",1.76531701167604e-05
"1587","31161A/US","GSLGO/US",1.76342846713289e-05
"989","322210/US","333514/US",1.76287400172753e-05
"584","518200/US","332430/US",1.76274833944281e-05
"1476","493000/US","326130/US",1.76111215386011e-05
"172","541800/US","33131B/US",1.75626276437532e-05
"1405","324110/US","323110/US",1.7541460156598e-05
"308","332720/US","33211A/US",1.7503648672213e-05
"1076","523A00/US","333613/US",1.7501596325349e-05
"850","523A00/US","332996/US",1.74865405214971e-05
"849","52A000/US","332996/US",1.7462516739862e-05
"1143","331110/US","336350/US",1.74392965915492e-05
"980","332800/US","333514/US",1.74392527633217e-05
"1039","523A00/US","33351B/US",1.74372649269419e-05
"109","336390/US","331200/US",1.74327215303497e-05
"998","524200/US","333514/US",1.74003114479038e-05
"1084","811300/US","333613/US",1.73897878718763e-05
"861","541511/US","33299A/US",1.73611051378243e-05
"1282","331110/US","339910/US",1.73441932104371e-05
"1225","531ORE/US","336390/US",1.73358377655499e-05
"937","332119/US","333111/US",1.73297615083581e-05
"1354","533000/US","322230/US",1.72803075034278e-05
"1590","424700/US","GSLGO/US",1.72801825694948e-05
"1351","5241XX/US","322230/US",1.72670679593784e-05
"1164","332710/US","336360/US",1.72637326980342e-05
"866","327200/US","332999/US",1.72565983757596e-05
"1508","423600/US","326150/US",1.7243523522387e-05
"139","561900/US","331200/US",1.72400615565734e-05
"69","482000/US","3219A0/US",1.72174879970767e-05
"901","326190/US","332999/US",1.72149416184672e-05
"996","52A000/US","333514/US",1.72034446563438e-05
"880","332430/US","332999/US",1.71985094129781e-05
"1029","33441A/US","33351B/US",1.71963593788241e-05
"853","331110/US","33299A/US",1.71641510057722e-05
"73","541300/US","3219A0/US",1.71523555996386e-05
"730","326110/US","332720/US",1.71110521716936e-05
"1451","423800/US","326120/US",1.70485027317256e-05
"53","541300/US","321910/US",1.70443807758292e-05
"878","332200/US","332999/US",1.70416838713855e-05
"933","811200/US","332999/US",1.7039628363656e-05
"564","230301/US","332430/US",1.70301280239958e-05
"1216","326110/US","336390/US",1.70285364117324e-05
"1537","333612/US","562000/US",1.70149997958924e-05
"1298","423800/US","322210/US",1.70068740325152e-05
"833","550000/US","332991/US",1.70055573015318e-05
"1132","424A00/US","336320/US",1.69993458722026e-05
"907","425000/US","332999/US",1.69900614873672e-05
"1237","33211A/US","3363A0/US",1.69630427114108e-05
"763","221300/US","332800/US",1.69600540580607e-05
"1101","336370/US","336310/US",1.69488803108825e-05
"698","52A000/US","332710/US",1.69189655971468e-05
"1015","230301/US","33351B/US",1.69140300372225e-05
"1435","484000/US","326110/US",1.69134147607296e-05
"830","33211A/US","332991/US",1.68785595703515e-05
"1526","531ORE/US","326160/US",1.68636309498919e-05
"841","332800/US","332996/US",1.68617525112772e-05
"689","332800/US","332710/US",1.68580279438215e-05
"167","518200/US","33131B/US",1.68448499118044e-05
"453","334418/US","332310/US",1.68407895284003e-05
"1155","423600/US","336350/US",1.68181043806396e-05
"437","541800/US","332200/US",1.67932931230252e-05
"844","334413/US","332996/US",1.67568007696716e-05
"1395","561700/US","322299/US",1.67283268030665e-05
"1049","331420/US","333612/US",1.67035156137078e-05
"1190","333517/US","336370/US",1.66941414781116e-05
"1520","550000/US","326150/US",1.66405894711326e-05
"801","441000/US","332800/US",1.65911616855396e-05
"191","423600/US","331410/US",1.6574643510299e-05
"572","332720/US","332430/US",1.65478189457721e-05
"744","532100/US","332720/US",1.65353597788983e-05
"77","327992/US","331110/US",1.65136282411927e-05
"683","331420/US","332710/US",1.64954638921843e-05
"705","561600/US","332710/US",1.64815882975388e-05
"1096","33211A/US","336310/US",1.64635438138841e-05
"788","325180/US","332800/US",1.64459358438669e-05
"1423","326110/US","323120/US",1.64080251431487e-05
"289","541200/US","332114/US",1.64028242291363e-05
"1438","327200/US","326120/US",1.63509612284311e-05
"278","493000/US","332114/US",1.63341541733919e-05
"990","326110/US","333514/US",1.62973929293308e-05
"1068","334418/US","333613/US",1.62971396286968e-05
"1583","324110/US","712000/US",1.62926657775514e-05
"1584","115000/US","GSLGO/US",1.62603685162134e-05
"440","230301/US","332310/US",1.62594906899941e-05
