"","input","output","value"
"192","423A00/US","331410/US",0.000151265572527509
"1018","331110/US","33351B/US",0.000150731419976735
"343","331313/US","332119/US",0.000150726670904251
"21","423A00/US","321200/US",0.000149285975152583
"431","811300/US","332119/US",0.000146305910258008
"408","533000/US","332119/US",0.000146146258483566
"149","221100/US","33131B/US",0.000145863821521892
"485","332710/US","332320/US",0.000145731499123183
"470","561300/US","332310/US",0.000145218964240652
"87","221100/US","331200/US",0.000144182103658481
"713","331420/US","332720/US",0.000142247576614319
"379","326110/US","332119/US",0.000141609174045973
"1064","332991/US","333613/US",0.000141072394876946
"1562","531ORE/US","562000/US",0.000138387733463703
"136","550000/US","331200/US",0.000138319497200688
"1249","336350/US","3363A0/US",0.000137803165767829
"1263","423A00/US","3363A0/US",0.000137485643793463
"434","331110/US","332200/US",0.000137439100016429
"1449","326110/US","326120/US",0.000137111723557015
"411","541200/US","332119/US",0.000135517474435205
"1271","336413/US","336413/US",0.000135357204082059
"420","561200/US","332119/US",0.000135096869277159
"1513","424A00/US","326150/US",0.000134982194528052
"1197","423A00/US","336370/US",0.000134852986123493
"1394","550000/US","322299/US",0.000134786839396404
"205","423A00/US","331490/US",0.000134616705970474
"1141","550000/US","336320/US",0.000133546634299681
"1129","423600/US","336320/US",0.000132472634561145
"1098","333618/US","336310/US",0.000132109646722278
"604","212230/US","332600/US",0.000131692813755252
"760","212230/US","332800/US",0.000130844995409744
"983","33351B/US","333514/US",0.000130811884292009
"367","334418/US","332119/US",0.000130764452751217
"284","531ORE/US","332114/US",0.000130715495658998
"773","332710/US","332800/US",0.000130301852034021
"816","550000/US","332800/US",0.000130022808764061
"248","331313/US","332114/US",0.000129602792697603
"94","331410/US","331200/US",0.000129118567463147
"969","550000/US","333511/US",0.000129026030507934
"1473","326110/US","326130/US",0.000128706309783969
"857","33299A/US","33299A/US",0.000128528740533387
"228","333514/US","331520/US",0.000128497817264192
"1233","331420/US","3363A0/US",0.000128491044868104
"881","332710/US","332999/US",0.000127552513837005
"1299","424200/US","322210/US",0.000127250861827941
"726","33351B/US","332720/US",0.000127056068153972
"936","331110/US","333111/US",0.000126969276974198
"68","423A00/US","3219A0/US",0.000126299011187429
