FacilityID,FlowName,Compartment,FlowAmount,Unit,DataReliability,Source,Year,FRS_ID,State,County,Location,NAICS
15067911,PM2.5 Primary (Filt + Cond),air,3.5008259116600002,kg,2.0,NEI,2020,110037578387,Michigan,Muskegon,26121,331314
15067911,Sulfur Dioxide,air,6.3366854089,kg,2.0,NEI,2020,110037578387,Michigan,Muskegon,26121,331314
15067911,Volatile Organic Compounds,air,20.704223328037223,kg,1.9854310439259504,NEI,2020,110037578387,Michigan,Muskegon,26121,331314
15482211,Volatile Organic Compounds,air,14351.662586800001,kg,5.0,NEI,2020,110041996579,Ohio,Trumbull,39155,331318
15548311,Carbon Dioxide,air,36421406.24723563,kg,5.0,NEI,2020,110000358693,Georgia,Greene,13133,331314
15548311,Carbon Monoxide,air,35114.490449654004,kg,1.0796158844243047,NEI,2020,110000358693,Georgia,Greene,13133,331314
15548311,Nitrogen Oxides,air,85869.299409278,kg,1.0004500568909942,NEI,2020,110000358693,Georgia,Greene,13133,331314
15548311,PM2.5 Primary (Filt + Cond),air,21376.95768561007,kg,2.0004710881291277,NEI,2020,110000358693,Georgia,Greene,13133,331314
15548311,Sulfur Dioxide,air,181.14664888320002,kg,2.0,NEI,2020,110000358693,Georgia,Greene,13133,331314
15548311,Volatile Organic Compounds,air,4675.448713012,kg,1.0013582211183982,NEI,2020,110000358693,Georgia,Greene,13133,331314
15648211,Carbon Dioxide,air,34354705.89274179,kg,5.0,NEI,2020,110000427716,South dakota,Yankton,46135,331318
15648211,Carbon Monoxide,air,17635.671345600003,kg,2.0,NEI,2020,110000427716,South dakota,Yankton,46135,331318
15648211,Nitrogen Oxides,air,21001.326731,kg,2.0,NEI,2020,110000427716,South dakota,Yankton,46135,331318
15648211,PM2.5 Primary (Filt + Cond),air,7829.0043062,kg,2.0,NEI,2020,110000427716,South dakota,Yankton,46135,331318
15648211,Sulfur Dioxide,air,81.6466266,kg,2.0,NEI,2020,110000427716,South dakota,Yankton,46135,331318
15648211,Volatile Organic Compounds,air,24741.822232712973,kg,2.0,NEI,2020,110000427716,South dakota,Yankton,46135,331318
15783711,PM2.5 Primary (Filt + Cond),air,0.00118931919414,kg,2.0,NEI,2020,110000783304,California,Santa clara,06085,331314
1667311,Carbon Monoxide,air,100.11373275981,kg,2.0,NEI,2020,110001181845,California,San mateo,06081,331318
1667311,Nitrogen Oxides,air,401.115633685382,kg,2.0,NEI,2020,110001181845,California,San mateo,06081,331318
1667311,PM2.5 Primary (Filt + Cond),air,65.5701109874195,kg,2.0,NEI,2020,110001181845,California,San mateo,06081,331318
1667311,Sulfur Dioxide,air,1.6254110633206602,kg,2.0,NEI,2020,110001181845,California,San mateo,06081,331318
1667311,Volatile Organic Compounds,air,6476.3956354655365,kg,2.0,NEI,2020,110001181845,California,San mateo,06081,331318
16725911,Carbon Dioxide,air,954630.501902,kg,2.0,NEI,2020,110007754554,Pennsylvania,Berks,42011,331314
16725911,Carbon Monoxide,air,208.65249020000002,kg,2.0,NEI,2020,110007754554,Pennsylvania,Berks,42011,331314
